state,year,rate
AK,FY2013,0.09125
AK,FY2014,0.10375000000000001
AK,FY2015,0.52
AK,FY2016,0.38875
AK,FY2017,0.4675
AL,FY2013,0.3078313253012048
AL,FY2014,0.2809638554216868
AL,FY2015,0.5213253012048193
AL,FY2016,0.5274698795180723
AL,FY2017,0.6369879518072287
AR,FY2013,0.4723255813953488
AR,FY2014,0.5553488372093024
AR,FY2015,0.8427272727272727
AR,FY2016,0.7517777777777775
AR,FY2017,0.8751111111111112
AZ,FY2013,0.18316666666666664
AZ,FY2014,0.12770491803278688
AZ,FY2015,0.44822580645161303
AZ,FY2016,0.38177419354838704
AZ,FY2017,0.45428571428571435
CA,FY2013,0.17982638888888897
CA,FY2014,0.15840830449826981
CA,FY2015,0.3063448275862068
CA,FY2016,0.2961433447098977
CA,FY2017,0.42431972789115663
CO,FY2013,0.08717391304347825
CO,FY2014,0.05630434782608695
CO,FY2015,0.1895744680851064
CO,FY2016,0.1548936170212766
CO,FY2017,0.18833333333333327
CT,FY2013,0.3337931034482759
CT,FY2014,0.29103448275862065
CT,FY2015,0.63
CT,FY2016,0.6417241379310346
CT,FY2017,0.7231034482758621
DC,FY2013,0.49714285714285716
DC,FY2014,0.3385714285714286
DC,FY2015,0.9957142857142857
DC,FY2016,0.7742857142857142
DC,FY2017,0.5514285714285714
DE,FY2013,0.17166666666666666
DE,FY2014,0.07833333333333332
DE,FY2015,0.215
DE,FY2016,0.295
DE,FY2017,0.6383333333333334
FL,FY2013,0.3096341463414635
FL,FY2014,0.28420731707317076
FL,FY2015,0.5152409638554217
FL,FY2016,0.6075595238095236
FL,FY2017,0.8054166666666669
GA,FY2013,0.22870000000000001
GA,FY2014,0.20520000000000008
GA,FY2015,0.44420000000000004
GA,FY2016,0.4155000000000002
GA,FY2017,0.5867000000000001
HI,FY2013,0.19416666666666663
HI,FY2014,0.13250000000000003
HI,FY2015,0.17
HI,FY2016,0.27166666666666667
HI,FY2017,0.23916666666666664
IA,FY2013,0.11500000000000002
IA,FY2014,0.08558823529411763
IA,FY2015,0.46058823529411763
IA,FY2016,0.4538235294117646
IA,FY2017,0.45617647058823535
ID,FY2013,0.0
ID,FY2014,0.014285714285714287
ID,FY2015,0.22285714285714286
ID,FY2016,0.16642857142857143
ID,FY2017,0.20857142857142857
IL,FY2013,0.4504000000000001
IL,FY2014,0.40080000000000016
IL,FY2015,0.7374399999999999
IL,FY2016,0.6434126984126984
IL,FY2017,0.7734920634920635
IN,FY2013,0.16353658536585364
IN,FY2014,0.15
IN,FY2015,0.4682352941176472
IN,FY2016,0.432
IN,FY2017,0.46
KS,FY2013,0.1892
KS,FY2014,0.1266
KS,FY2015,0.27137254901960783
KS,FY2016,0.2758823529411765
KS,FY2017,0.30725490196078437
KY,FY2013,0.48218749999999994
KY,FY2014,0.5665625
KY,FY2015,1.1800000000000002
KY,FY2016,1.1384375000000004
KY,FY2017,1.1526562499999997
LA,FY2013,0.3504494382022473
LA,FY2014,0.3484269662921349
LA,FY2015,0.5497752808988762
LA,FY2016,0.4717391304347826
LA,FY2017,0.5904347826086956
MA,FY2013,0.44754385964912285
MA,FY2014,0.4147368421052632
MA,FY2015,0.6733333333333333
MA,FY2016,0.6273684210526317
MA,FY2017,0.7694736842105264
ME,FY2013,0.09294117647058824
ME,FY2014,0.0488235294117647
ME,FY2015,0.24705882352941178
ME,FY2016,0.25352941176470584
ME,FY2017,0.2994117647058823
MI,FY2013,0.24505376344086022
MI,FY2014,0.23172043010752685
MI,FY2015,0.48655913978494625
MI,FY2016,0.46851063829787254
MI,FY2017,0.6158510638297873
MN,FY2013,0.09839999999999999
MN,FY2014,0.08239999999999999
MN,FY2015,0.29
MN,FY2016,0.2919999999999999
MN,FY2017,0.276
MO,FY2013,0.3387671232876713
MO,FY2014,0.2867123287671232
MO,FY2015,0.5887837837837837
MO,FY2016,0.6201351351351353
MO,FY2017,0.7645945945945944
MS,FY2013,0.48622950819672117
