hname,City,State,year,rate,group_2013,group_2014,group_2015,group_2016,group_2017,stategroup,stateorder
ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,AK,FY2013,0.23,1,1,1,1,1,3,0
ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,AK,FY2014,0.45,1,1,1,1,1,3,0
ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,AK,FY2015,0.49,1,1,1,1,1,3,0
ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,AK,FY2016,0.34,1,1,1,1,1,3,0
ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,AK,FY2017,0.23,1,1,1,1,1,3,0
ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,FY2013,0,0,1,0,2,3,3,0
ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,FY2014,0.01,0,1,0,2,3,3,0
ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,FY2015,0,0,1,0,2,3,3,0
ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,FY2016,0.57,0,1,0,2,3,3,0
ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,FY2017,1.19,0,1,0,2,3,3,0
BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,FY2013,0,0,0,3,1,1,3,0
BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,FY2014,0,0,0,3,1,1,3,0
BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,FY2015,1.27,0,0,3,1,1,3,0
BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,FY2016,0.45,0,0,3,1,1,3,0
BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,FY2017,0.04,0,0,3,1,1,3,0
CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,AK,FY2013,0.07,1,1,3,3,3,3,0
CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,AK,FY2014,0.09,1,1,3,3,3,3,0
CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,AK,FY2015,1.41,1,1,3,3,3,3,0
CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,AK,FY2016,1.02,1,1,3,3,3,3,0
CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,AK,FY2017,1.28,1,1,3,3,3,3,0
FAIRBANKS MEMORIAL HOSPITAL,FAIRBANKS,AK,FY2013,0,0,0,1,1,1,3,0
FAIRBANKS MEMORIAL HOSPITAL,FAIRBANKS,AK,FY2014,0,0,0,1,1,1,3,0
FAIRBANKS MEMORIAL HOSPITAL,FAIRBANKS,AK,FY2015,0.07,0,0,1,1,1,3,0
FAIRBANKS MEMORIAL HOSPITAL,FAIRBANKS,AK,FY2016,0.13,0,0,1,1,1,3,0
FAIRBANKS MEMORIAL HOSPITAL,FAIRBANKS,AK,FY2017,0.08,0,0,1,1,1,3,0
MAT-SU REGIONAL MEDICAL CENTER,PALMER,AK,FY2013,0.1,1,1,2,1,2,3,0
MAT-SU REGIONAL MEDICAL CENTER,PALMER,AK,FY2014,0.01,1,1,2,1,2,3,0
MAT-SU REGIONAL MEDICAL CENTER,PALMER,AK,FY2015,0.92,1,1,2,1,2,3,0
MAT-SU REGIONAL MEDICAL CENTER,PALMER,AK,FY2016,0.48,1,1,2,1,2,3,0
MAT-SU REGIONAL MEDICAL CENTER,PALMER,AK,FY2017,0.92,1,1,2,1,2,3,0
PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,FY2013,0,0,0,0,1,0,3,0
PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,FY2014,0,0,0,0,1,0,3,0
PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,FY2015,0,0,0,0,1,0,3,0
PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,FY2016,0.12,0,0,0,1,0,3,0
PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,FY2017,0,0,0,0,1,0,3,0
YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,AK,FY2013,0.33,1,1,0,0,0,3,0
YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,AK,FY2014,0.27,1,1,0,0,0,3,0
YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,AK,FY2015,0,1,1,0,0,0,3,0
YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,AK,FY2016,0,1,1,0,0,0,3,0
YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,AK,FY2017,0,1,1,0,0,0,3,0
ANDALUSIA REGIONAL HOSPITAL,ANDALUSIA,AL,FY2013,0.59,2,1,0,1,1,1,0
ANDALUSIA REGIONAL HOSPITAL,ANDALUSIA,AL,FY2014,0.33,2,1,0,1,1,1,0
ANDALUSIA REGIONAL HOSPITAL,ANDALUSIA,AL,FY2015,0,2,1,0,1,1,1,0
ANDALUSIA REGIONAL HOSPITAL,ANDALUSIA,AL,FY2016,0.14,2,1,0,1,1,1,0
ANDALUSIA REGIONAL HOSPITAL,ANDALUSIA,AL,FY2017,0.36,2,1,0,1,1,1,0
ATHENS-LIMESTONE HOSPITAL,ATHENS,AL,FY2013,0.04,1,0,1,2,3,1,0
ATHENS-LIMESTONE HOSPITAL,ATHENS,AL,FY2014,0,1,0,1,2,3,1,0
ATHENS-LIMESTONE HOSPITAL,ATHENS,AL,FY2015,0.09,1,0,1,2,3,1,0
ATHENS-LIMESTONE HOSPITAL,ATHENS,AL,FY2016,0.54,1,0,1,2,3,1,0
ATHENS-LIMESTONE HOSPITAL,ATHENS,AL,FY2017,1.12,1,0,1,2,3,1,0
ATMORE COMMUNITY HOSPITAL,ATMORE,AL,FY2013,0.95,2,3,2,1,1,1,0
ATMORE COMMUNITY HOSPITAL,ATMORE,AL,FY2014,1.08,2,3,2,1,1,1,0
